player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
2218,Ismaïla Sarr,Crystal Palace,F,2024-08-18 13:00:00+00:00,2024-11-02 17:30:00+00:00,10,3,,,,False
407033,Ismeal Kabia,Arsenal,F,2024-09-15 13:00:00+00:00,2024-10-19 16:30:00+00:00,0,0,,,,False
18814,Issa Diop,Fulham,D,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,7,4,,,,False
140947,Issa Kaboré,Manchester City,D,2024-08-24 14:00:00+00:00,2024-08-24 14:00:00+00:00,0,0,,,,False
19136,Jack Clarke,Ipswich,F | M,2024-08-31 14:00:00+00:00,2024-11-02 15:00:00+00:00,8,3,,,,False
383770,Jack Fletcher,Manchester United,F,2024-10-19 14:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
19187,Jack Grealish,Manchester City,F | M,2024-08-18 15:30:00+00:00,2024-10-20 13:00:00+00:00,7,4,,,,False
19128,Jack Harrison,Everton,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,7,,,,False
305730,Jack Hinshelwood,Brighton,D | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,9,9,,,,False
18940,Jack Stephens,Southampton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,6,6,,,,False
18397,Jack Taylor,Ipswich,M,2024-08-17 11:30:00+00:00,2024-10-19 14:00:00+00:00,6,0,,,,False
127579,Jacob Greaves,Ipswich,D,2024-08-17 11:30:00+00:00,2024-10-05 14:00:00+00:00,7,7,,,,False
19163,Jacob Murphy,Newcastle,F | M,2024-08-17 14:00:00+00:00,2024-10-27 13:00:00+00:00,9,6,,,,False
19192,Jacob Ramsey,Aston Villa,M,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,8,5,,,,False
382355,Jacob Wright,Manchester City,M,2024-11-02 15:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
138931,Jaden Philogene-Bidace,Aston Villa,F | M,2024-08-17 16:30:00+00:00,2024-10-19 14:00:00+00:00,5,1,,,,False
18,Jadon Sancho,Chelsea,F | M,2024-09-14 19:00:00+00:00,2024-10-27 13:00:00+00:00,5,4,,,,False
404656,Jahmai Simpson-Pusey,Manchester City,D,2024-11-02 15:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
196855,Jaidon Anthony,Bournemouth,F,2024-08-17 14:00:00+00:00,2024-08-25 13:00:00+00:00,0,0,,,,False
270139,Jake O'Brien,Everton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
61431,Jakub Kiwior,Arsenal,D,2024-08-24 16:30:00+00:00,2024-11-02 12:30:00+00:00,4,0,,,,False
40911,Jakub Moder,Brighton,M,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
19719,James Bree,Southampton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
895,James Garner,Everton,D | M,2024-08-31 14:00:00+00:00,2024-10-05 16:30:00+00:00,4,2,,,,False
20093,James Hill,Bournemouth,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
19760,James Justin,Leicester,D,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,9,9,,,,False
18784,James Maddison,Tottenham,M,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
158697,James McAtee,Manchester City,M,2024-08-18 15:30:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
296,James Milner,Brighton,M,2024-08-17 14:00:00+00:00,2024-08-31 11:30:00+00:00,3,3,,,,False
2936,James Tarkowski,Everton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
2938,James Ward-Prowse,Nottingham Forest | West Ham,M,2024-08-17 16:30:00+00:00,2024-10-25 19:00:00+00:00,5,4,,,,False
18788,Jamie Vardy,Leicester,F,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
2999,Jan Bednarek,Southampton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
38695,Jan Paul van Hecke,Brighton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,8,7,,,,False
18943,Jannik Vestergaard,Leicester,D,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,3,3,,,,False
158698,Jarell Quansah,Liverpool,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,1,1,,,,False
17661,Jarrad Branthwaite,Everton,D,2024-09-28 14:00:00+00:00,2024-11-02 15:00:00+00:00,3,1,,,,False
19428,Jarrod Bowen,West Ham,F | M,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
18960,Jason Steele,Brighton,G,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,2,2,,,,False
